ID,first_name,last_name,sex,title,birth_date,birth_place,death_date,death_place
1133,"Alexandre","",M,,"1942",,,
1134,"Marie Christine","",F,,"1951",,,
1135,"Marie Esmeralda","",F,,"1956",,,
1136,"Paul","Druker",M,,,,,
1137,"Augusta Wilhelmine of_Hesse-","",F,,"14 APR 1765","Darmstadt","30 MAR 1796","Near,Heidelberg,Germany"
1138,"Ludwig_I","Wittelsbach",M,"King of Bavaria","25 AUG 1786","Strassburg","29 FEB 1868","Nice"
1139,"Auguste","Wittelsbach",F,,"1788",,"1851",
1140,"Amelia","Wittelsbach",F,,"1790",,"1794",
1141,"Charles","Wittelsbach",M,,"1795",,"1875",
1142,"Therese of_Saxe- Hildburghausen","",F,,"8 JUL 1792","Hildburghausen","26 OCT 1854","Munich"
1143,"Maximilian_II","",M,"King of Bavaria","28 NOV 1811","Munich","10 MAR 1864","Munich"
1144,"Marie of_Prussia","",F,"Princess","15 OCT 1825","Berlin","17 MAY 1889","Schloss,Hohenschwangau"
1145,"Ludwig_II","Wittelsbach",M,"King of Bavaria","25 AUG 1845","Schloss,Nymphenburg","13 JUN 1886","Starnbergersee,Near Schloss,Berg"
1146,"Otto_I","Wittelsbach",M,"King of Bavaria","27 APR 1848","Munich","11 OCT 1916","Near,Munich"
1147,"5sons_1dau","",,,,,,
1148,"Otto_I Friedrich Ludwig","Wittelsbach",M,"King of Greece","1 JUN 1815","Salzburg,Austria","26 JUL 1867","Bamberg,Germany"
1149,"Theodolinde","",,,"1816",,"1817",
1150,"Luitpold","",M,"Regent","1821",,"1912",
1151,"Adelgunde","",F,,"1823",,"1914",
1152,"Hildegarde","",F,,"1825",,"1864",
1153,"Adalbert","",M,,"1828",,"1875",
1154,"Maximilian","Wittelsbach",M,,"1800",,"1803",
1155,"Elizabeth (twin) of_Bavaria","Wittelsbach",F,,"1801",,"1873",
1156,"Amelia (twin)","Wittelsbach",F,,"1801",,"1877",
1157,"Maria (twin)","Wittelsbach",F,,"1805",,"1877",
1158,"Ludovica (Louise)","Wittelsbach",F,,"1808",,"1892",
1159,"Maximiliana","Wittelsbach",F,,"1810",,"1821",
1160,"Frederick Louis","",M,,"1707",,"1708",
1161,"Frederick William","",M,,"1710",,"1711",
1162,"Frederick_II the_Great","",M,"King of Prussia","24 JAN 1712","Berlin,Germany","17 AUG 1786","Sans Souci,Potsdam,Germany"
1163,"Charlotte Albertine","",F,,"1713",,"1714",
1164,"Frederica Louise","",F,,"1714",,"1784",
1165,"Philippine Charlotte","",F,,"1716",,"1801",
1166,"Louis Charles William","",M,,"1717",,"1719",
1167,"Sophia","",F,,"1719",,"1765",
1168,"Louise Ulrika","",F,,"1720",,"1782",
1169,"Anna Amelia","",F,,"1725",,"1787",
1170,"Henry","",M,,"1726",,"1802",
1171,"Ferdinand","",M,,"1730",,"1813",
1172,"Heinrich_XXII","Reuss",M,"Prince",,,,
1173,"Elizabeth Henrietta of_Hesse-Cassel","",F,,"8 NOV 1661","Cassel","27 JUN 1683","Coln au Der,Spree"
1174,"Louise","",F,,"1680",,"1705",
1175,"Frederick_I","",M,"King of Sweden",,,,
1176,"Sophia Louise of_Mecklenburg-","",F,,"16 MAY 1685",,"29 JUL 1735","Grabow"
1177,"Frederick Augustus","",M,,"1685",,"1686",
1178,"Son (stillborn)","",M,,,,,
1179,"Augusta of_Austria- Tuscany","",F,"Archduchess","1825",,"1864",
1180,"Leopold","",M,,"1846",,"1930",
1181,"Therese","",F,,"1850",,"1925",
1182,"Amulf","",M,,"1852",,"1907",
1183,"Luitpold","",M,,"1901",,"1914",
1184,"Irmingard","",F,,"1902",,"1903",
1185,"Rudolf","",M,,"1909",,"1912",
1186,"Antoinette of_Luxembourg","",F,,"1899",,"1954",
1187,"Henry","",M,,"1922",,"1958",
1188,"Irmingard","",F,,"1923",,,
1189,"Editha","",F,,"1924",,,
1190,"Hilda","",F,,"1926",,,
1191,"Gabriele","",F,,"1927",,,
1192,"Sophie","",F,,"1935",,,
1193,"Maximilian Joseph","",M,"Duke of Bavaria",,,,
1194,"Ludwig","",M,,"1831",,"1920",
1195,"Helene","",F,,"1834",,"1858",
1196,"Elizabeth","",F,"Empress","1837",,"1898",
1197,"Karl Theodor "Gackl"","",M,,"1839",,"1909",
1198,"Maria","",F,,"1841",,"1925",
1199,"Mathilde","",F,,"1843",,"1925",
1200,"Sophie","",F,,"1847",,"1897",
1201,"Maximilian","",M,,"1849",,"1893",
1202,"Maria Josepha of_Portugal","",F,,"1857",,"1943",
1203,"Alexander","Zoubkoff",M,,,,,
1204,"Irene","",F,,"1939",,,
1205,"Margaret","",F,,"1943",,,
1206,"Mary Christina","",F,,"1947",,,
1207,"Claus","von_Amsberg",M,,"6 SEP 1926","Dotzingen",,
1208,"William Alexander","",M,"Prince of Orange","1967",,,
1209,"John Friso","",M,,"1968",,,
1210,"Constantine","",M,,"1969",,,
1211,"Claus","von_Amsberg",M,,,,,
1212,"Gosta","von_dem_Bussche-",F,"Baroness",,,,
1213,"Frederick Francis_II of_Mecklenburg-","",M,"Grand Duke","1823",,"1883",
1214,"Marie of_Schwarzburg- Rudolstadt","",F,,,,,
1215,"Antoine de_Bourbon of_France","",M,,,,,
1216,"Helene of_Nassau Henrietta","",F,,"1831",,"1888",
1217,"Henry_VI","",M,"King of England","6 DEC 1421","Windsor Castle,Berkshire,England","21 MAY 1471","Tower of London,London,England"
1218,"Margaret of_Anjou","",F,,"23 MAR 1429","Pont-a-Mousson,Lorraine","25 AUG 1482","Chateau de,Dampiere,Near Saumur"
1219,"Henry_V","",M,"King of England","9 AUG 1387","Monmouth","31 AUG 1422","Bois de,Vincennes"
1220,"Catherine of_Valois","",F,,"27 OCT 1401","Paris","3 JAN 1437","Bermondsey,Abbey"
1221,"Henry_IV","",M,"King of England","4 APR 1366","Bolingbrooke,Castle","20 MAR 1413","London,England"
1222,"Mary","De_Bohun",F,,,,"4 JUL 1394","Peterborough,Castle"
1223,"Son","",M,,"APR 1382",,"ABT    1382",
1224,"Thomas","",M,"Duke of Clarence","1388","Kenilworth","22 MAR 1421","Beauge"
1225,"John","",M,"Duke of Bedford","20 JUN 1389",,"15 SEP 1435","Rouen"
1226,"Humphrey of_Gloucester","",M,"Duke","SEP 1390",,"23 FEB 1447","Bury St. Edmunds"
1227,"Blanche","",F,,"1392","Peterborough,Castle","21 MAY 1409","Germany"
1228,"Philippa","",F,,"4 JUL 1394","Peterborough,Castle","5 JAN 1430","Convent,of Vadstena"
1229,"Edward_III","",M,"King of England","13 NOV 1312","Windsor Castle,Berkshire,England","21 JUN 1377","Sheen Palace"
1230,"Philippa of_Hainault","",F,,"24 JUN 1311","Valenciennes","14 AUG 1369","Windsor Castle,Windsor,Berkshire,England"
1231,"Edward","",M,"Prince of Wales","15 JUN 1330","Woodstock,Oxfordshire,England","8 JUN 1376","Westminster,Palace,London,England"
1232,"Isabella","",F,,"16 JUN 1332","Woodstock","BEF    OCT 1382","London"
1233,"Joan (Joanna)","",F,,"ABT    FEB 1335","Woodstock","2 SEP 1348","Bayonne"
1234,"William of_Hatfield","",M,,"BEF 16 FEB 1337","Hatfield Herts","BEF  8 JUL 1337",
1235,"Lionel of_Antwerp","",M,"Duke of Clarence","29 NOV 1338","Antwerp,Belgium","10 DEC 1363","Dublin,Ireland"
1236,"John of_Gaunt","",M,"Duke of Lancast.","MAR 1340","Ghent","3 FEB 1399","Leicester Castle"
1237,"Edmund of_Langley","",M,"Duke of York","5 JUN 1341","Kings Langley,Herts","1 AUG 1402","Kings Langley,Herts"
1238,"Blanche","",F,,"MAR 1342","Tower of London","MAR 1342","Tower of London"
1239,"Mary","",F,,"10 OCT 1344","Waltham,Near Winchester","1361/1362",
1240,"Margaret","",F,,"20 JUL 1346","Windsor Castle,Berkshire,England","AFT  1 OCT 1361",
1241,"William of_Windsor","",M,,"24 JUN 1348","Windsor Castle,Berkshire,England","SEP 1348",
1242,"Thomas of_Woodstock","",M,"Duke of Glouces.","7 JAN 1355","Woodstock","15 SEP 1396/1397","Calais"
1243,"Blanche of_Lancaster","",F,,"1341",,"12 SEP 1369","Bolingbroke,Castle"
1244,"Isabella_II","",F,"Queen of Spain","1830","Madrid,Spain","1904",
1245,"Don_Francisco","de_Asis",M,,"1822",,"1902",
1246,"Ferdinand_VII","",M,"King of Spain","1784",,"1833",
1247,"Mary","Stuart",F,"Queen of Scots","7 DEC 1542","Linlithgow,Scotland","8 FEB 1587",",England"
1248,"Francis_II","",M,"King of France","19 JAN 1544","Fontainebleau,France","5 DEC 1560","Orleans,France"
1249,"Henry","Stuart",M,"Lord Darnley","1545",,"1567",
1250,"James","Hepburn",M,"Earl Bothwell-4",,,"1576",
1251,"Mary of_Guise","",F,,"1515",,"1560",
1252,"James_III","",M,"King of Scotland","1451","Stirling,Scotland","1488",
1253,"Richard de_Burgh","",M,"Earl of Ulster",,,,
1254,"Edmund","Tudor",M,"Earl of Richmond","ABT    1430",,"1456",
1255,"Margaret of_Richmond","Beaufort",F,"Countess",,,"1509",
1256,"John of_Eltham","",M,"Earl of Cornwall","ABT 15 AUG 1316","Eltham Palace,Kent","14 SEP 1336","Perth"
1257,"Eleanor","",F,,"18 JUN 1318","Woodstock","22 APR 1355","Deventer"
1258,"Joan of_the_Tower","",F,,"5 JUL 1321","Tower of London,London,England","7 SEP 1362","Hertford"
1259,"Rainald_II of_Gueldres","",M,"Duke",,,,
1260,"Charles of_Orleans","",M,"Duke of Orleans","1391",,"1465",
1261,"Edward_I (Longshanks)","",M,"King of England","17 JUN 1239","Westminster,Palace,London,England","7 JUL 1307","Near Carlisle"
1262,"Eleanor of_Castile","",F,,"ABT    1244","Castile","24 NOV 1290","Herdeby,Near Grantham,Lincolnshire"
1263,"Eleanor","",F,,"17 JUN 1264","Windsor Castle,Berkshire,England","12 OCT 1297","Ghent"
1264,"Joan","",F,,"1265",,"1265",
1265,"John","",M,,"10 JUL 1266","Windsor,Berkshire,England","3 AUG 1271","Westminster,London,England"
1266,"Henry","",M,,"13 JUL 1267","Windsor,Berkshire,England","14 OCT 1274","Merton,Surrey"
1267,"Julian (Katherine)","",F,,"1271","Holy Land","1271","Holy Land"
1268,"Joan of_Acre","",F,,"1272","Acre,Palestine","23 APR 1307","Clare,Suffolk,England"
1269,"Alfonso","",M,"Earl of Chester","24 NOV 1273","Bordeaux","19 AUG 1284","Windsor Castle,Berkshire,England"
1270,"Margaret","",F,,"11 SEP 1275","Windsor Castle,Berkshire,England","1318","Brussels"
1271,"Berengaria","",F,,"1276","Kennington","ABT    1279",
1272,"Mary","",F,,"11 MAR 1278","Windsor Castle,Berkshire,England","BEF  8 JUL 1332","Amesbury"
1273,"Alice","",F,,"12 MAR 1279","Woodstock","1291",
1274,"Elizabeth","",F,,"AUG 1282","Rhuddlan Castle","5 MAY 1316",
1275,"Beatrice","",F,,"ABT    1286","Aquitaine",,
1276,"Blanche","",F,,"1290",,"1290",
1277,"Marguerite of_France","",F,,"1279","Paris","14 FEB 1317","Marlborough,Castle"
1278,"Thomas of_Brotherton","",M,"Earl of Norfolk","1 JUN 1300","Brotherton,Yorkshire,England","AUG 1338",
1279,"Edmund of_Woodstock","",M,"Earl of Kent","5 AUG 1301","Woodstock","19 MAR 1330","Winchester"
1280,"Eleanor","",F,,"4 MAY 1306","Winchester","1311","Amesbury"
1281,"Henry_III","",M,"King of England","1 OCT 1207","Winchester,Castle","16 NOV 1272","Westminster,Palace,London,England"
1282,"Eleanor of_Provence","",F,,"ABT    1217","Aix-en-Provence","24 JUN 1291","Amesbury,Wiltshire"
1283,"Margaret","",F,,"29 SEP 1240","Windsor Castle,Berkshire,England","26 FEB 1275","Cupar Castle,Fife"
1284,"Beatrice","",F,,"25 JUN 1242","Bordeaux","24 MAR 1275","London,England"
1285,"Edmund Crouchback of_Leicester","",M,"Earl","16 JAN 1245","London,England","5 JUN 1296","Bayonne"
1286,"Richard","",M,,"ABT    1247",,"BEF    1256",
1287,"John","",M,,"ABT    1250",,"BEF    1256",
1288,"Katherine","",F,,"25 NOV 1253","Westminster","3 MAY 1257","Windsor Castle,Berkshire,England"
1289,"William","",M,,"ABT    1256",,"ABT    1256",
1290,"Henry","",M,,"AFT    1256",,"ABT    1257",
1291,"John","Spencer",M,"Hon.","1734",,"1783",
1292,"Georgiana","Carteret",F,"Lady",,,"1780",
1293,"Henrietta","",F,,"28 FEB 1792","Maastricht","26 OCT 1864","Schloss Rahr,Near Aachen"
1294,"Paul_I","Romanov",M,"Emperor","1754",,"1801",
1295,"Maria Feodorovna of_Wurttemberg","",F,,"1759",,"1828",
1296,"Alexander_I","Romanov",M,"Tsar of Russia","1777",,"1825",
1297,"Yelizaveta Alekseyevna of_Baden","",F,,,,,
1298,"Konstantin","Romanov",M,,"1779",,,
1299,"Catherine_II the_Great","",F,"Empress","2 MAY 1729","Szczecin,Poland","17 NOV 1796","St. Petersburg,Russia"
1300,"Peter_III","Romanov",M,"Emperor Russia","1728","Kiel,Germany","17 JUL 1762",
1301,"Peter_I the_Great","Romanov",M,"Emperor","1672",,"1725",
1302,"Catherine_I","",F,"Empress","1683","Jakobstadt,Latvia","1727",
1303,"Anna Petrovna","Romanov",F,,"1708",,"1728",
1304,"Elizabeth Petrovna","Romanov",F,"Empress","1709","Near Moscow,Russia","1761/1762",
1305,"Yevdokiya Lopukhina","",F,,,,,
1306,"Alexis","Romanov",M,,"1690",,"1718",
1307,"Unknown","",F,,,,,
1308,"Peter_II","Romanov",M,,"1715",,"1730",
1309,"Alexis_I Michaylovich","Romanov",M,"Emperor","1629",,"1675/1676",
1310,"Maria Miroslavkaya","",F,,,,"1668",
1311,"Feodor_III (Theodore)","Romanov",M,"Emperor","1662",,"1682",
1312,"Mikhail_III Feodorovich","Romanov",M,,"1597",,"1645",
1313,"Eudoxia","Streshniev",F,,"1608",,"1645",
1314,"Natalia Narishkina","",F,,"1651",,"1694",
1315,"Unknown","",F,,,,,
1316,"Ivan_V","Romanov",M,"Emperor","1666",,"1696",
1317,"Unknown","",F,,,,,
1318,"Anna Ioannovna","Romanov",F,"Empress","1693",,"1740",
1319,"Yekaterina of_Mecklenburg","",F,,,,,
1320,"Unknown","",M,,,,,
1321,"Anna Leopoldovna of_Brunswick","",F,,,,,
1322,"Unknown","",M,,,,,
1323,"Ivan_VI","Romanov",M,"Emperor","1740",,"1741",
1324,"Ivan","Romanov",M,,,,,
1325,"Sophia","Romanov",F,,"ABT    1657",,,
1326,"Cyril","Naryshkin",M,,"1623",,"1691",
1327,"Jacquetta of_Luxembourg","",F,,,,,
1328,"Catherine Swynford","Roet",F,,"1350",,"10 MAY 1403","Lincoln"
1329,"John Beaufort","",M,"Earl Sommerset",,,"1410",
1330,"Henry Beaufort","",M,"Cardinal",,,"1447",
1331,"Joan Beaufort","",F,,,,,
1332,"Humphrey","De_Bohun",M,"Earl of Hereford",,,,
1333,"Henry","Beaufort",M,"Earl Sommerset","1401",,"1418",
1334,"John","Beaufort",M,"Duke Sommerset","1403",,"1444",
1335,"Edmund","Beaufort",M,"Duke Sommerset",,,"1455",
1336,"Margaret","Beauchamp",F,,,,,
1337,"Isabella of_Castile","",F,,,,"23 NOV 1393",
1338,"Edward","",M,"Duke of York",,,"1415","Agincourt"
1339,"Anne","Beauchamp",F,"Lady",,,,
1340,"Isabel","Nevill",F,"Lady",,,,
1341,"Louis_XIV","",M,"King of France","5 SEP 1638","St Germain-en-,Laye,France","1 SEP 1715","Versailles,France"
1342,"Richard","Nevill",M,"Earl Salisbury",,,"1460",
1343,"Eleanor","De_Bohun",F,"Lady",,,"3 OCT 1399","Barking Abbey,Essex,England"
1344,"Roger","Mortimer",M,"Earl of March IV",,,"1398",",,,Ireland"
1345,"Eleanor","Holland",F,,,,"1405",
1346,"Edmund","Mortimer",M,"Earl of March",,,"1425",
1347,"Violante of_Milan","Visconti",F,,,,"1404",
1348,"Philippa of_Ulster","",F,"Countess",,,"1382",
1349,"Edmund","Mortimer",M,"Earl of March 3d",,,"1381",
1350,"Henry","Stafford",M,"Sir",,,"1481",
1351,"Thomas","Stanley",M,"Lord",,,"1504",
1352,"Owen","Tudor",M,,,,"1461",
1353,"Jasper","Tudor",M,"Earl of Pembroke",,,"1495/1496",
1354,"Natalia","Sheremetevskaya",F,,"1880",,"1952",
1355,"Maria Pavlovna","Romanov",F,,"1890",,"1958",
1356,"Olga","Karnovich",F,"Princess","1866",,"1929",
1357,"Vladimir","Romanov",M,,"1896",,"1918",
1358,"Natalie","Romanov",F,,"1905",,,
1359,"Irina","Romanov",F,,"1908",,,
1360,"George","Romanov",M,,"1910",,"1931",
1361,"Peter of_Oldenburg","",M,"Prince","1868",,"1924",
1362,"Helen Vladimirovna of_Russia","Romanov",F,"Grand Duchess","1882",,"1957",
1363,"Charles of_Brunswick- Wolfenbuttel","",M,"Duke",,,,
1364,"John Lackland","",M,"King of England","24 DEC 1167","Beaumont Palace,Oxford,England","19 OCT 1216","Newark Castle,Newark,Nottinghamshire,England"
1365,"Isabella De_Clare of_Gloucester","",F,"Countess",,,"NOV 1217",
1366,"Isabella of_Angouleme","",F,,"ABT    1188","Angouleme","31 MAY 1246","Fontevraud"
1367,"Richard","",M,"Earl of Cornwall","5 JAN 1209","Winchester,Castle,England","1272","Newark Castle,Newark,England"
1368,"Joan","",F,,"22 JUL 1210","Gloucester,England","4 MAR 1238","Near London,England"
1369,"Isabella","",F,,"1214","Gloucester","1 DEC 1241","Foggia"
1370,"Eleanor","",F,,"1215","Gloucester","13 APR 1275","Montargis,France"
1371,"Henry_II Curtmantle","",M,"King of England","25 MAR 1133","Le Mans","6 JUL 1189","Chinon"
1372,"Eleanor of_Aquitaine","",F,"Duchess","ABT    1122","Bordeaux/Berlin","1 APR 1204","Fontevraud"
1373,"William","",M,,"17 AUG 1152","Normandy,England","ABT    APR 1156","Wallingford,Castle,Berkshire,England"
1374,"Henry the_Young_King","",M,"King of England","28 FEB 1155","Bermondsey","11 JUN 1183","Martel"
1375,"Matilda (Maud)","",F,,"1156","London,England","28 JUN 1189","Brunswick"
1376,"Richard_I Coeur_de_Lion","",M,"King of England","1157","Beaumont Palace,Oxford,England","6 APR 1199","Chalus,Limousin"
1377,"Geoffrey","",M,"Duke of Brittany","23 SEP 1158",,"19 AUG 1186","Paris"
1378,"Eleanor","",F,,"13 OCT 1162","Domfront,Normandy","31 OCT 1214","Burgos"
1379,"Joan","Plantagenet",F,,"OCT 1165","Angers","4 SEP 1199",
1380,"William_I the_Conqueror","",M,"King of England","1027/1028","Falaise,Normandy,France","7 SEP 1087","Near Rouen,France"
1381,"Matilda of_Flanders","",F,,"ABT    1031","Flanders,France","2 NOV 1083","Caen"
1382,"Robert Curthose","",M,"Duke of Normandy","1054","Normandy,France","10 FEB 1134","Cardiff Castle"
1383,"Richard","",M,,"ABT    1055",,"ABT    1081","New Forest"
1384,"William_II Rufus","",M,"King of England","1056/1060","Normandy,France","2 AUG 1100","New Forest"
1385,"Cecilia of_Holy_Trinity","",F,"Abess",,,"30 JUL 1126","Caen"
1386,"Agatha","",F,,,,,
1387,"Adeliza a_nun","",F,,,,,
1388,"Adela","",F,,"ABT    1062","Normandy,France","8 MAR 1137/1138","Marcigny-sur-,Loire,France"
1389,"Matilda","",F,,,,,
1390,"Constance","",F,,"ABT    1066","Normandy,France","13 AUG 1090","Brittany,France"
1391,"Henry_I Beauclerc","",M,"King of England","ABT    SEP 1068","Selby,Yorkshire,England","1 DEC 1135","St Denis-le-,Fermont,Near Gisors"
1392,"Matilda (Edith) of_Scotland","",F,,"1079/1080","Dunfermline","1 MAY 1118","Westminster,Palace,London,England"
1393,"Robert of_Gloucester","",M,,,,"1147",
1394,"William","",M,"Duke of Normandy","BEF  5 AUG 1103","Winchester","25 NOV 1120",
1395,"Matilda","",F,,"ABT    1103/1104","Winchester","10 SEP 1167","Rouen"
1396,"Adeliza of_Louvain","",F,,"ABT    1105","Louvain,Belgium","ABT 23 APR 1151","Afflighem,Flanders"
1397,"Stephen","",M,"King of England","ABT    1096","Blois,France","25 OCT 1154","Dover Castle"
1398,"Matilda of_Boulogne","",F,,"ABT    1103/1105","Boulogne","3 MAY 1152","Hedingham Castle,Essex,England"
1399,"Baldwin","",M,,"ABT    1126",,"BEF  2 DEC 1135","London,England"
1400,"Eustace of_Boulongne","",M,"Count","1130/1131",,"10 AUG 1153","Bury St Edmunds"
1401,"Matilda","",F,,"ABT    1133",,"ABT    1135",
1402,"William of_Boulogne","",M,"Count","ABT    1134",,"11 OCT 1159","Toulouse"
1403,"Mary of_Boulogne","",F,"Countess","ABT    1136",,"1182","St Austrebert"
1404,"Henry_V","",M,"Holy Roman Empr","1086",,"23 MAY 1125","Utrecht"
1405,"Geoffrey_V","Plantagenet",M,"Count of Anjou",,,"7 SEP 1151","Chateau-du-Loir"
1406,"Audrey","Emery",F,,"1904",,,
1407,"Paul","Romanov",M,"Prince Ilynsky",,,,
1408,"William","",M,"Prince of Sweden","1884",,"1965",
1409,"Lennart Gustaf Nicholas","",M,"Count of Wisborg","8 MAY 1909","Stockholm,Sweden",,
1410,"Joan","",F,"Countess of Kent","29 SEP 1328",,"8 AUG 1385","Wallingford,Castle,Berkshire,England"
1411,"Edward","",M,,"27 JAN 1365","Angouleme","1372","Bordeaux,France"
1412,"Richard_II","",M,"King of England","6 JAN 1367","Bordeaux,France","6 JAN 1400","Pontefract,Castle"
1413,"Anne of_Bohemia","",F,,"11 MAY 1366","Prague","BEF  3 JUN 1394","Sheen Palace"
1414,"Isabella of_France","",F,,"9 NOV 1387","Hotel du Louvre,Paris,France","13 SEP 1409","Blois"
1415,"Enguerrand_VII de_Courcy","",M,"Earl of Bedford",,,"1396",
1416,"Constanza (Constance)","",F,"Queen of Castile",,,"24 MAR 1394","Leicester,England"
1417,"John 2d","Hastings",M,"Earl of Pembroke",,,"1375",
1418,"Elizabeth de_Burgh","",F,"Lady",,,"10 DEC 1363","Dublin"
1419,"Charles Frederick of_Holstein-","",M,"Duke","1700",,"1739",
1420,"Marie-Therese of_Spain","",F,,"20 SEP 1638","Madrid,Spain","30 JUL 1683","Versailles,France"
1421,"Francoise d'Aubigne","",F,,"27 NOV 1635","Niort,France","15 APR 1719","St Cyr,France"
1422,"Louis_XV","",M,"King of France","15 FEB 1710","Versailles,France","10 MAY 1774","Versailles,France"
1423,"Maria of_Poland","Leczinska",F,,"1703",,"1768",
1424,"Louis_XVI","",M,"King of France","23 AUG 1754","Versailles,France","21 JAN 1793","Paris,France"
1425,"Marie Antoinette of_Austria","",F,,"2 NOV 1755","Vienna,Austria","16 OCT 1793","Paris,France"
1426,"Henry","Brandon",M,"Earl of Lincoln","1516",,"1534",
1427,"Frances","Brandon",F,,"1517",,"1559",
1428,"Eleanor","Brandon",F,,,,"1547",
1429,"Madeleine of_France","",F,,,,"1537",
1430,"Henry","Grey",M,"Duke of Suffolk",,,"1554",
1431,"Margaret","Douglas",F,"Lady","1515",,"1578",
1432,"Matthew","Stuart",M,"Earl Lennox 4th","1516",,"1571",
1433,"Charles","Stuart",M,"Earl Lennox 6th",,,"1576",
1434,"Elizabeth","Cavendish",F,,,,"1581",
1435,"Arabella","Stuart",F,,,,"1615",
1436,"William","Seymour",M,"Duke Sommerset",,,"1660",
1437,"Thomas","Beaufort",M,"Duke of Exeter",,,,
1438,"Franz Josef of_Austria","",M,"Emperor","18 AUG 1830","Vienna,Austria","21 NOV 1916",
1439,"Rudolf","",M,"Archduke","1858",,"1889",
1440,"Daughter_1","",F,,,,,
1441,"Daughter_2","",F,,,,,
1442,"","",M,"duc d' Alencon",,,,
1443,"Joan","Holland",F,,,,"1434",
1444,"Maud","Clifford",F,,,,,
1445,"Anne","Stafford",F,,,,,
1446,"Catherine","Woodville",F,,,,,
1447,"Robert_I","Bruce",M,"King of Scotland","1274",,"1329","Cardoss Castle,Firth of Clyde,Scotland"
1448,"Isobel of_Mar","",F,,,,,
1449,"Margery","Bruce",F,,,,"1316",
1450,"Elizabeth de_Burgh","",F,,,,"1327",
1451,"David_II","Bruce",M,"King of Scotland","1329",,"1371",
1452,"Thored","",M,"Ealdorman",,,,
1453,"Margaret","Drummond",F,,,,"1375",
1454,"Walter","Stewart",M,,"1292",,"1326",
1455,"Robert_II","",M,"King of Scotland","1316",,"1390",
1456,"Elizabeth of_Rowallan","Mure",F,,,,,
1457,"Robert_III","",M,"King of Scotland",,,,
1458,"Walter","",M,,,,,
1459,"Robert","",M,"Earl of Fife",,,,
1460,"Alexander","",M,,,,,
1461,"Annabella","",F,,,,"1401",
1462,"David of_Rothesay","",M,"Duke",,,,
1463,"James_I","",M,"King of Scotland","1394","Dunfermline,Scotland","1437",
1464,"Euphemia of_Ross","",F,,,,,
1465,"Joan","Beaufort",F,,,,"1445",
1466,"James_II","",M,"King of Scotland","1430","Edinburgh,Scotland","1460","Roxburgh Castle,Scotland"
1467,"Marie of_Gueldres","",F,,,,"1463",
1468,"John","",M,"King of Denmark","1455",,"1513",
1469,"Margaret of_Denmark","",F,,"ABT    1457",,"1486",
1470,"Alexander","",M,"Duke of Albany","ABT    1454",,"1485",
1471,"John","",M,"Earl of Mar",,,,
1472,"Mary","",F,,,,,
1473,"Thomas","Boyd",M,"Earl of Arran",,,,
1474,"James","Hamilton",M,"Lord 1st","1479",,,
1475,"Elizabeth","",F,,,,,
1476,"James","Hamilton",M,"Earl of Arran I","1477",,"1529",
1477,"Matthew","Stewart",M,"Earl Lennox II",,,,
1478,"John","Stewart",M,"Earl Lennox III",,,,
1479,"Unknown","",F,,,,,
1480,"John","Stuart",M,"Lord d'Aubigny V",,,,
1481,"Unknown","",F,,,,,
1482,"Esme","Stuart",M,"Duke Lennox I",,,"1583",
1483,"Catherine","Sinclair",F,,,,,
1484,"John","",M,"Duke of Albany","1484",,"1536",
1485,"Unknown","",F,,,,,
1486,"Murdoch","",M,"Duke of Albany",,,,
1487,"James","Stewart",M,"Sir",,,,
1488,"John","Stewart",M,"Earl of Atholl",,,,
1489,"James","Stewart",M,"Earl of Buchan",,,,
1490,"Andrew","Stewart",M,"Bishop of Moray",,,,
1491,"Janet","Beaton",F,,,,"ABT    1522",
1492,"James","Hamilton",M,"Earl of Arran II","1515",,"1575",
1493,"Margaret","Douglas",F,,,,,
1494,"James","Hamilton",M,"3d Earl of Arran",,,"1609",
1495,"Blanche of_Artois","",F,,,,"2 MAY 1302",
1496,"Thomas","",M,"Earl Lancaster",,,,
1497,"Henry","",M,"Earl Lancaster",,,,
1498,"Maud","Chaworth",F,,,,,
1499,"Henry","",M,"Duke Lancaster I",,,"1361",
1500,"Isabel","de_Beaumont",F,,,,,
1501,"Philippa of_Lancaster","",F,,"ABT    1360",,"1415",
1502,"Elizabeth","",F,,"1364",,"1426",
1503,"John_I","",M,"King of Portugal","1357",,"1433",
1504,"Alice (Itayls)","Hayles",F,,,,"AFT  8 MAY 1326",
1505,"Margaret of_Liddell","Wake",F,"Baroness",,,"29 SEP 1349",
1506,"Constance of_Brittany","",F,"Duchess",,,"1201",
1507,"Arthur","",M,,"1187",,"1203",
1508,"Berengaria of_Navarre","",F,,"1163",,"1230",
1509,"Henry the_Lion","",M,"Duke of Saxony",,,"1195",
1510,"Margaret of_France","",F,,,,"1198",
1511,"Malcolm_III Canmore","",M,"King of Scotland",,,"1093",
1512,"St_Margaret","",F,,,,"1093",
1513,"Edgar","",M,"King of Scotland","ABT    1074",,"1107",
1514,"Alexander_I the_Fierce","",M,"King of Scotland","1078",,"1124",
1515,"David_I the_Saint","",M,"King of Scotland","ABT    1080",,"1153",
1516,"Mary of_Scotland","",F,,,,,
1517,"Stephen Henry","",M,"Count of Blois",,,"1102",
1518,"Theobald","",M,"Count of Blois",,,"1151",
1519,"Henry of_Winchester","",M,"Bishop",,,,
